domain,method,perturbation_family,perturbation_name,principal_seed,violation_step_rate,critical_violation_step_rate,constraint_violation_rate,reward,success_rate,intervention_rate,mean_correction_l2,violation_delta_from_clean,critical_delta_from_clean,constraint_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,steps_object_grasped
autonomous_driving,lyapunov,obstacle_distance,obstacle_distance_plus_0p10,42,0.0,0.0,0.0,-11.367836498019663,0.0,0.0,0.0,0.0,0.0,0.0,-0.0371221790178744,0.0,0.0,1.0,0
autonomous_driving,lyapunov,obstacle_distance,obstacle_distance_plus_0p10,456,0.0,0.0,0.0,4.4735627298194744,1.0,0.3935,0.1885523700118065,0.0,0.0,0.0,0.19249403102955398,0.0,0.0,1.0,0
autonomous_driving,none,obstacle_distance,obstacle_distance_plus_0p10,123,0.7965,0.0,0.7965,-8.910286628428006,0.0,0.0,0.0,-0.04249999999999998,0.0,-0.04249999999999998,-0.1898838841059458,0.0,0.0,0.0,0
autonomous_driving,none,obstacle_distance,obstacle_distance_plus_0p10,42,0.0,0.0,0.0,-11.367836498019663,0.0,0.0,0.0,0.0,0.0,0.0,-0.0371221790178744,0.0,0.0,0.0,0
autonomous_driving,none,obstacle_distance,obstacle_distance_plus_0p10,456,0.3036739380022962,0.05797933409873708,0.47761194029850745,-7.247858223351532,0.15,0.0,0.0,-0.029848789270431053,-0.0016797568103538302,-0.011592605156037994,0.3017137449325835,0.0,0.0,0.0,0
autonomous_driving,clipping,speed,speed_minus_0p05,123,0.0,0.0,0.0,-7.5957287409337075,0.0,0.8355,0.24449534064531325,0.0,0.0,0.0,0.992302587822457,0.0,0.0,0.0,0
autonomous_driving,clipping,speed,speed_minus_0p05,42,0.0,0.0,0.0,-11.596128159304715,0.0,0.0,0.0,0.0,0.0,0.0,-0.2654138403029265,0.0,0.0,0.0,0
autonomous_driving,clipping,speed,speed_minus_0p05,456,0.0,0.0,0.0,4.598163788735313,1.0,0.413,0.20185563659667968,0.0,0.0,0.0,0.3170950899453926,0.0,0.0,0.0,0
autonomous_driving,lyapunov,speed,speed_minus_0p05,123,0.0,0.0,0.0,-7.5957287409337075,0.0,0.8355,0.24449534064531325,0.0,0.0,0.0,0.992302587822457,0.0,0.0,1.0,0
autonomous_driving,lyapunov,speed,speed_minus_0p05,42,0.0,0.0,0.0,-11.596128159304715,0.0,0.0,0.0,0.0,0.0,0.0,-0.2654138403029265,0.0,0.0,1.0,0
autonomous_driving,lyapunov,speed,speed_minus_0p05,456,0.0,0.0,0.0,4.598163788735313,1.0,0.413,0.20185563659667968,0.0,0.0,0.0,0.3170950899453926,0.0,0.0,1.0,0
autonomous_driving,none,speed,speed_minus_0p05,123,0.836,0.0,0.836,-7.725755078912685,0.0,0.0,0.0,-0.0030000000000000027,0.0,-0.0030000000000000027,0.9946476654093752,0.0,0.0,0.0,0
autonomous_driving,none,speed,speed_minus_0p05,42,0.0,0.0,0.0,-11.596128159304715,0.0,0.0,0.0,0.0,0.0,0.0,-0.2654138403029265,0.0,0.0,0.0,0
autonomous_driving,none,speed,speed_minus_0p05,456,0.33105413105413106,0.05982905982905983,0.4945868945868946,-7.266650558757143,0.15,0.0,0.0,-0.0024685962185961863,0.00016996891996892,0.00538234913234914,0.2829214095269723,0.0,0.0,0.0,0
autonomous_driving,clipping,speed,speed_plus_0p05,123,0.0,0.0,0.0,-9.573100866068106,0.0,0.84,0.24682480072975158,0.0,0.0,0.0,-0.9850695373119418,0.0,0.0,0.0,0
autonomous_driving,clipping,speed,speed_plus_0p05,42,0.0,0.0,0.0,-11.604201929933069,0.0,0.0,0.0,0.0,0.0,0.0,-0.27348761093128005,0.0,0.0,0.0,0
autonomous_driving,clipping,speed,speed_plus_0p05,456,0.0,0.0,0.0,3.9448067120533805,1.0,0.414,0.19596359688043594,0.0,0.0,0.0,-0.33626198673653995,0.0,0.0,0.0,0
autonomous_driving,lyapunov,speed,speed_plus_0p05,123,0.0,0.0,0.0,-9.573100866068106,0.0,0.84,0.24682480072975158,0.0,0.0,0.0,-0.9850695373119418,0.0,0.0,1.0,0
autonomous_driving,lyapunov,speed,speed_plus_0p05,42,0.0,0.0,0.0,-11.604201929933069,0.0,0.0,0.0,0.0,0.0,0.0,-0.27348761093128005,0.0,0.0,1.0,0
autonomous_driving,lyapunov,speed,speed_plus_0p05,456,0.0,0.0,0.0,3.9448067120533805,1.0,0.414,0.19596359688043594,0.0,0.0,0.0,-0.33626198673653995,0.0,0.0,1.0,0
autonomous_driving,none,speed,speed_plus_0p05,123,0.841,0.0,0.841,-9.706292530616668,0.0,0.0,0.0,0.0020000000000000018,0.0,0.0020000000000000018,-0.9858897862946083,0.0,0.0,0.0,0
autonomous_driving,none,speed,speed_plus_0p05,42,0.0,0.0,0.0,-11.604201929933069,0.0,0.0,0.0,0.0,0.0,0.0,-0.27348761093128005,0.0,0.0,0.0,0
autonomous_driving,none,speed,speed_plus_0p05,456,0.33710407239819007,0.06108597285067873,0.4841628959276018,-7.848247096010688,0.15,0.0,0.0,0.0035813451254628204,0.0014268819415878195,-0.005041649526943637,-0.2986751277265727,0.0,0.0,0.0,0
robotics,clipping,object_position,object_x_minus_0p05,123,0.0,0.0,0.0,0.7009828967888997,0.0,0.009,0.004702892363071442,0.0,0.0,0.0,-0.0010116322647208964,0.0,0.0,0.0,0
robotics,clipping,object_position,object_x_minus_0p05,42,0.0,0.0,0.0,0.6546627454567084,0.0,0.096,0.014412586733698825,0.0,0.0,0.0,-0.0402621643198956,0.0,0.0,0.0,0
robotics,clipping,object_position,object_x_minus_0p05,456,0.0,0.0,0.0,0.6676676534802649,0.0,0.0,0.0,0.0,0.0,0.0,0.030887256862900614,0.0,0.0,0.0,0
robotics,lyapunov,object_position,object_x_minus_0p05,123,0.0,0.0,0.0,0.7009828967888997,0.0,0.009,0.004702892363071442,0.0,0.0,0.0,-0.0010116322647208964,0.0,0.0,1.0,0
robotics,lyapunov,object_position,object_x_minus_0p05,42,0.0,0.0,0.0,0.6546892195045231,0.0,0.0955,0.014433841586112977,0.0,0.0,0.0,-0.04024375094191235,0.0,0.0,1.0,0
robotics,lyapunov,object_position,object_x_minus_0p05,456,0.0,0.0,0.0,0.6676676534802649,0.0,0.0,0.0,0.0,0.0,0.0,0.030887256862900614,0.0,0.0,1.0,0
robotics,none,object_position,object_x_minus_0p05,123,0.009,0.009,0.009,0.6559828967888996,0.0,0.0,0.0,0.0004999999999999987,0.0004999999999999987,0.0004999999999999987,-0.003511632264720954,0.0,0.0,0.0,0
robotics,none,object_position,object_x_minus_0p05,42,0.096,0.0225,0.1315,0.5360465683400006,0.0,0.0,0.0,0.060500000000000005,0.004,0.07950000000000002,-0.06621632084127638,0.0,0.0,0.0,0
robotics,none,object_position,object_x_minus_0p05,456,0.0,0.0,0.0,0.6676676534802649,0.0,0.0,0.0,0.0,0.0,0.0,0.030887256862900614,0.0,0.0,0.0,0
robotics,clipping,object_position,object_x_plus_0p05,123,0.0,0.0,0.0,0.6469573189194003,0.0,0.0075,0.003904045581817627,0.0,0.0,0.0,-0.05503721013422025,0.0,0.0,0.0,0
robotics,clipping,object_position,object_x_plus_0p05,42,0.0,0.0,0.0,0.6897617126137303,0.0,0.0145,0.007533451676368714,0.0,0.0,0.0,-0.005163197162873723,0.0,0.0,0.0,0
robotics,clipping,object_position,object_x_plus_0p05,456,0.0,0.0,0.0,0.5752025948468268,0.0,0.0,0.0,0.0,0.0,0.0,-0.06157780177053751,0.0,0.0,0.0,0
robotics,lyapunov,object_position,object_x_plus_0p05,123,0.0,0.0,0.0,0.6469573189194003,0.0,0.0075,0.003904045581817627,0.0,0.0,0.0,-0.05503721013422025,0.0,0.0,1.0,0
robotics,lyapunov,object_position,object_x_plus_0p05,42,0.0,0.0,0.0,0.6897617126137303,0.0,0.0145,0.007533451676368714,0.0,0.0,0.0,-0.005171257832705112,0.0,0.0,1.0,0
robotics,lyapunov,object_position,object_x_plus_0p05,456,0.0,0.0,0.0,0.5752025948468268,0.0,0.0,0.0,0.0,0.0,0.0,-0.06157780177053751,0.0,0.0,1.0,0
robotics,none,object_position,object_x_plus_0p05,123,0.0075,0.0075,0.0075,0.6094573189194002,0.0,0.0,0.0,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.050037210134220356,0.0,0.0,0.0,0
robotics,none,object_position,object_x_plus_0p05,42,0.0145,0.0145,0.0145,0.6172617126137304,0.0,0.0,0.0,-0.020999999999999998,-0.003999999999999998,-0.0375,0.014998823432453401,0.0,0.0,0.0,0
robotics,none,object_position,object_x_plus_0p05,456,0.0,0.0,0.0,0.5752025948468268,0.0,0.0,0.0,0.0,0.0,0.0,-0.06157780177053751,0.0,0.0,0.0,0
robotics,clipping,object_position,object_y_minus_0p05,123,0.0,0.0,0.0,0.6724763761146721,0.0,0.007,0.0036194249987602234,0.0,0.0,0.0,-0.02951815293894844,0.0,0.0,0.0,0
robotics,clipping,object_position,object_y_minus_0p05,42,0.0,0.0,0.0,0.6253040379809458,0.0,0.036,0.007225616529583925,0.0,0.0,0.0,-0.06962087179565823,0.0,0.0,0.0,0
robotics,clipping,object_position,object_y_minus_0p05,456,0.0,0.0,0.0,0.6219849174102102,0.0,0.0,0.0,0.0,0.0,0.0,-0.014795479207154072,0.0,0.0,0.0,0
robotics,lyapunov,object_position,object_y_minus_0p05,123,0.0,0.0,0.0,0.6724763761146721,0.0,0.007,0.0036194249987602234,0.0,0.0,0.0,-0.02951815293894844,0.0,0.0,1.0,0
robotics,lyapunov,object_position,object_y_minus_0p05,42,0.0,0.0,0.0,0.6253270579586397,0.0,0.036,0.007233357131481171,0.0,0.0,0.0,-0.06960591248779568,0.0,0.0,1.0,0
robotics,lyapunov,object_position,object_y_minus_0p05,456,0.0,0.0,0.0,0.6219849174102102,0.0,0.0,0.0,0.0,0.0,0.0,-0.014795479207154072,0.0,0.0,1.0,0
robotics,none,object_position,object_y_minus_0p05,123,0.007,0.007,0.007,0.6374763761146721,0.0,0.0,0.0,-0.0015000000000000005,-0.0015000000000000005,-0.0015000000000000005,-0.022018152938948488,0.0,0.0,0.0,0
robotics,none,object_position,object_y_minus_0p05,42,0.036,0.0135,0.058,0.5570700445116629,0.0,0.0,0.0,0.0005000000000000004,-0.004999999999999999,0.006000000000000005,-0.04519284466961415,0.0,0.0,0.0,0
robotics,none,object_position,object_y_minus_0p05,456,0.0,0.0,0.0,0.6219849174102102,0.0,0.0,0.0,0.0,0.0,0.0,-0.014795479207154072,0.0,0.0,0.0,0
robotics,clipping,object_position,object_y_plus_0p05,123,0.0,0.0,0.0,0.689540009956184,0.0,0.0095,0.004995296955108643,0.0,0.0,0.0,-0.012454519097436556,0.0,0.0,0.0,0
robotics,clipping,object_position,object_y_plus_0p05,42,0.0,0.0,0.0,0.7425358801026718,0.0,0.0245,0.01285808402299881,0.0,0.0,0.0,0.04761097032606776,0.0,0.0,0.0,0
robotics,clipping,object_position,object_y_plus_0p05,456,0.0,0.0,0.0,0.6286766986755005,0.0,0.0,0.0,0.0,0.0,0.0,-0.00810369794186383,0.0,0.0,0.0,0
robotics,lyapunov,object_position,object_y_plus_0p05,123,0.0,0.0,0.0,0.689540009956184,0.0,0.0095,0.004995296955108643,0.0,0.0,0.0,-0.012454519097436556,0.0,0.0,1.0,0
