domain,method,perturbation_family,perturbation_name,principal_seed,perturbed_violation_step_rate,executed_violation_step_rate,executed_constraint_violation_rate,critical_violation_step_rate,mean_reward,success_rate,intervention_rate,mean_safety_correction_l2,p95_safety_correction_l2,recovery_rate,within_filter_violation_reduction,executed_violation_delta_from_clean,reward_delta_from_clean,success_delta_from_clean,selected_lower_than_perturbed_rate,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,environment_interface_adjustment_rate,proposed_to_perturbed_gripper_semantic_change_rate,perturbed_to_executed_gripper_semantic_change_rate,unsafe_perturbed_steps,recovered_unsafe_steps,unresolved_unsafe_steps,steps_object_grasped,interventions_while_grasped,perturbed_unsafe_steps_while_grasped
autonomous_driving,clipping,steering,steering_minus_0p10,456,0.4555,0.0,0.0,0.0,0.37376412276440485,1.0,0.4555,0.25885028529167176,0.5934627056121826,1.0,1.0,0.0,-3.9073045760255156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911,911,0,0,0,0
autonomous_driving,lyapunov,steering,steering_minus_0p10,123,0.2925,0.0,0.0,0.0,-22.573891126503202,0.0,0.2925,0.08049866181612014,0.2861745357513428,1.0,1.0,0.0,-13.985859797747038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,585,585,0,0,0,0
autonomous_driving,lyapunov,steering,steering_minus_0p10,42,0.0,0.0205,0.0205,0.0,-46.6510756531428,0.0,0.0235,0.018423303000628947,0.0,,,0.0205,-35.32036133414101,0.0,0.0235,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
autonomous_driving,lyapunov,steering,steering_minus_0p10,456,0.4555,0.0,0.0,0.0,0.37376412276440485,1.0,0.4555,0.25885028529167176,0.5934627056121826,1.0,1.0,0.0,-3.9073045760255156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,911,911,0,0,0,0
autonomous_driving,none,steering,steering_minus_0p10,123,0.296,0.296,0.296,0.0,-22.61298268740837,0.0,0.0,0.0,0.0,0.0,0.0,-0.5429999999999999,-13.892579943086309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,592,0,592,0,0,0
autonomous_driving,none,steering,steering_minus_0p10,42,0.1465,0.1465,0.1465,0.03,-49.19301359090074,0.0,0.0,0.0,0.0,0.0,0.0,0.1465,-37.86229927189895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293,0,293,0,0,0
autonomous_driving,none,steering,steering_minus_0p10,456,0.37735849056603776,0.37735849056603776,0.5791881074899943,0.058319039451114926,-8.603916374936066,0.15,0.0,0.0,0.0,0.0,0.0,0.043835763293310515,-1.0543444066519507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660,0,660,0,0,0
autonomous_driving,clipping,steering,steering_minus_0p25,123,0.0425,0.0,0.0,0.0,-45.282579324928854,0.0,0.0425,0.012794410467147826,0.0,1.0,1.0,0.0,-36.69454799617269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,85,0,0,0,0
autonomous_driving,clipping,steering,steering_minus_0p25,42,0.628,0.628,0.628,0.483,-80.7119615240569,0.0,0.628,0.1281103944182396,0.2289494276046753,0.0,0.0,0.628,-69.38124720505512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256,0,1256,0,0,0
autonomous_driving,clipping,steering,steering_minus_0p25,456,0.5335,0.0,0.0,0.0,-19.666575483274922,0.95,0.5335,0.363335239470005,0.6972706317901611,1.0,1.0,0.0,-23.947644182064842,-0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,1067,1067,0,0,0,0
autonomous_driving,lyapunov,steering,steering_minus_0p25,123,0.0425,0.0,0.0,0.0,-45.282579324928854,0.0,0.0425,0.012794410467147826,0.0,1.0,1.0,0.0,-36.69454799617269,0.0,0.0,0.0,1.0,0.0,0.0,0.0,85,85,0,0,0,0
autonomous_driving,lyapunov,steering,steering_minus_0p25,42,0.0245,0.157,0.171,0.0,-65.67772866368225,0.0,0.2125,0.16413322618603707,1.035475730895996,0.0,-5.408163265306123,0.157,-54.34701434468046,0.0,0.2125,0.018,0.986,0.0,0.0,0.0,49,0,49,0,0,0
autonomous_driving,lyapunov,steering,steering_minus_0p25,456,0.5335,0.0,0.0,0.0,-19.666575483274922,0.95,0.5335,0.363335239470005,0.6972706317901611,1.0,1.0,0.0,-23.947644182064842,-0.050000000000000044,0.0,0.0,1.0,0.0,0.0,0.0,1067,1067,0,0,0,0
