domain,method,principal_seed,sigma,violation_step_rate,violation_delta_from_clean,critical_violation_step_rate,critical_delta_from_clean,constraint_violation_rate,constraint_delta_from_clean,reward,reward_delta_from_clean,success_rate,success_delta_from_clean,intervention_rate,mean_action_correction_l2,max_action_correction_l2,mean_noise_l2,strict_lyapunov_decrease_rate,lyapunov_nonincrease_rate,selected_lower_than_proposed_rate,emergency_fallback_rate,steps_object_grasped,source
robotics,lyapunov,123,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.6510756274410028,-0.050918901612617806,0.0,0.0,0.0075,0.003995622098445892,0.567867636680603,0.23880277722235768,0.0,1.0,0.0,0.0,70,results\safety\gaussian-robustness\runs\robotics-lyapunov-seed-123-sigma-0p10.json
robotics,lyapunov,42,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.69485148069471,-8.14897517253943e-05,0.0,0.0,0.0235,0.010498761922121048,0.5634680986404419,0.023706519036088138,0.0,1.0,0.0035,0.0,0,results\safety\gaussian-robustness\runs\robotics-lyapunov-seed-42-sigma-0p01.json
robotics,lyapunov,42,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.7871312794150863,0.09219830896865089,0.0,0.0,0.0255,0.011930396735668182,0.5749236345291138,0.11626960591319949,0.0,1.0,0.003,0.0,60,results\safety\gaussian-robustness\runs\robotics-lyapunov-seed-42-sigma-0p05.json
robotics,lyapunov,42,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8607602412108317,0.1658272707643963,0.0,0.0,0.039,0.017705756694078447,0.612358808517456,0.23443997148796916,0.0,1.0,0.009,0.0,227,results\safety\gaussian-robustness\runs\robotics-lyapunov-seed-42-sigma-0p10.json
robotics,lyapunov,456,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.6367829686864632,2.5720690989272654e-06,0.0,0.0,0.0,0.0,0.0,0.023525232832180335,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-lyapunov-seed-456-sigma-0p01.json
robotics,lyapunov,456,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.6211357554741814,-0.01564464114318287,0.0,0.0,0.0,0.0,0.0,0.11771223065908998,0.0,1.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-lyapunov-seed-456-sigma-0p05.json
robotics,lyapunov,456,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.537864920899583,-0.09891547571778125,0.0,0.0,0.001,0.0003043849468231201,0.3628721237182617,0.23961491640843452,0.0,1.0,0.001,0.0,0,results\safety\gaussian-robustness\runs\robotics-lyapunov-seed-456-sigma-0p10.json
robotics,none,123,0.01,0.0085,0.0,0.0085,0.0,0.0085,0.0,0.6582750650695265,-0.0012194639840941157,0.0,0.0,0.0,0.0,0.0,0.023420131465652957,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-none-seed-123-sigma-0p01.json
robotics,none,123,0.05,0.0085,0.0,0.008,-0.0005000000000000004,0.0085,0.0,0.6420167553109996,-0.01747777374262105,0.0,0.0,0.0,0.0,0.0,0.11695905599277466,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-none-seed-123-sigma-0p05.json
robotics,none,123,0.1,0.0075,-0.0010000000000000009,0.0065,-0.002000000000000001,0.0075,-0.0010000000000000009,0.6135756274410027,-0.04591890161261791,0.0,0.0,0.0,0.0,0.0,0.23880277722235768,0.0,0.0,0.0,0.0,70,results\safety\gaussian-robustness\runs\robotics-none-seed-123-sigma-0p10.json
robotics,none,42,0.01,0.037,0.0015000000000000013,0.02,0.0015000000000000013,0.0425,-0.009499999999999995,0.5945077048568602,-0.007755184324416797,0.0,0.0,0.0,0.0,0.0,0.023706519036088138,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-none-seed-42-sigma-0p01.json
robotics,none,42,0.05,0.0325,-0.0029999999999999957,0.021,0.0025000000000000022,0.035,-0.016999999999999994,0.6741498384550947,0.07188694927381767,0.0,0.0,0.0,0.0,0.0,0.11626960591319949,0.0,0.0,0.0,0.0,60,results\safety\gaussian-robustness\runs\robotics-none-seed-42-sigma-0p05.json
robotics,none,42,0.1,0.075,0.0395,0.021,0.0025000000000000022,0.14,0.08800000000000002,0.6983282805298976,0.09606539134862058,0.0,0.0,0.0,0.0,0.0,0.23443997148796916,0.0,0.0,0.0,0.0,227,results\safety\gaussian-robustness\runs\robotics-none-seed-42-sigma-0p10.json
robotics,none,456,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.6367829686864632,2.5720690989272654e-06,0.0,0.0,0.0,0.0,0.0,0.023525232832180335,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-none-seed-456-sigma-0p01.json
robotics,none,456,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.6211357554741814,-0.01564464114318287,0.0,0.0,0.0,0.0,0.0,0.11771223065908998,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-none-seed-456-sigma-0p05.json
robotics,none,456,0.1,0.0025,0.0025,0.0,0.0,0.003,0.003,0.5377108126747852,-0.09906958394257914,0.0,0.0,0.0,0.0,0.0,0.23961491640843452,0.0,0.0,0.0,0.0,0,results\safety\gaussian-robustness\runs\robotics-none-seed-456-sigma-0p10.json
