domain,perturbation_name,perturbation_family,method,principal_seed,perturbed_violation_step_rate,executed_violation_step_rate,executed_violation_delta_from_clean,unsafe_perturbed_steps,recovered_unsafe_steps,unresolved_unsafe_steps,recovery_rate,within_filter_violation_reduction,mean_reward,reward_delta_from_clean,success_rate,success_delta_from_clean,intervention_rate,mean_action_perturbation_l2,mean_safety_correction_l2,p95_safety_correction_l2,environment_interface_adjustment_rate,strict_lyapunov_decrease_rate,selected_lower_than_perturbed_rate,steps_object_grasped,proposed_to_perturbed_gripper_semantic_change_rate,perturbed_to_executed_gripper_semantic_change_rate
autonomous_driving,acceleration_plus_0p10,acceleration,clipping,456,0.4245,0.0,0.0,849,849,0,1.0,1.0,4.110678838615973,-0.1703898601739473,1.0,0.0,0.4245,0.10000000149011612,0.24686426293849945,0.61078941822052,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p10,acceleration,lyapunov,123,1.0,0.0,0.0,2000,2000,0,1.0,1.0,-8.568795186978395,0.019236141777769333,0.0,0.0,1.0,0.10000000149011612,0.3838478281497955,0.4328978955745697,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p10,acceleration,lyapunov,42,0.991,0.0,0.0,1982,1982,0,1.0,1.0,-11.27036007679064,0.060354242211149156,0.0,0.0,0.991,0.10000000149011612,0.3045168713629246,0.32580849528312683,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p10,acceleration,lyapunov,456,0.4245,0.0,0.0,849,849,0,1.0,1.0,4.110678838615973,-0.1703898601739473,1.0,0.0,0.4245,0.10000000149011612,0.24686426293849945,0.61078941822052,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p10,acceleration,none,123,1.0,1.0,0.16100000000000003,2000,0,2000,0.0,0.0,-8.849797706485143,-0.129394962163083,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p10,acceleration,none,42,0.991,0.991,0.991,1982,0,1982,0.0,0.0,-11.382819831891513,-0.05210551288972454,0.0,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p10,acceleration,none,456,0.3265067290813341,0.3265067290813341,-0.007015998191393147,558,0,558,0.0,0.0,-7.563771292014917,-0.014199323730801794,0.15,0.0,0.0,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p25,acceleration,clipping,123,1.0,0.0,0.0,2000,2000,0,1.0,1.0,-8.568795186978395,0.019236141777769333,0.0,0.0,1.0,0.25,0.5338478340506554,0.5828979015350342,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p25,acceleration,clipping,42,1.0,0.0,0.0,2000,2000,0,1.0,1.0,-11.298273349984601,0.032440969017187626,0.0,0.0,1.0,0.25,0.4567596498131752,0.4758085012435913,0.0,0.0,0.0,0,0.0,0.0
autonomous_driving,acceleration_plus_0p25,acceleration,clipping,456,0.435,0.0,0.0,870,870,0,1.0,1.0,3.8341885686720385,-0.44688013011788197,1.0,0.0,0.4945,0.25,0.31990166610479354,0.7611243724822998,0.0,0.0,0.0,0,0.0,0.0
